	ID	NAME	ALT_NAME	ADDRESS	ZIP	TELEPHONE	STATUS	POPULATION	SOURCE	SOURCEDATE	WEBSITE	BEDS	TRAUMA	HELIPAD
0	5793230	CENTRAL VALLEY GENERAL HOSPITAL	NOT AVAILABLE	1025 NORTH DOUTY STREET	93230	NOT AVAILABLE	CLOSED	49	http://www.oshpd.ca.gov/hid/facility-listing.html	2016/02/04 00:00:00	http://www.hanfordhealth.com	49	NOT AVAILABLE	N
1	53391362	LOS ROBLES HOSPITAL & MEDICAL CENTER - EAST CAMPUS	NOT AVAILABLE	150 VIA MERIDA	91362	NOT AVAILABLE	OPEN	62	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://www.losrobleshospital.com	62	NOT AVAILABLE	N
2	11190023	EAST LOS ANGELES DOCTORS HOSPITAL	NOT AVAILABLE	4060 WHITTIER BOULEVARD	90023	NOT AVAILABLE	OPEN	127	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://www.elalax.com	127	NOT AVAILABLE	N
3	17090028	SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD	HOLLYWOOD COMMUNITY HOSPITAL OF HOLLYWOOD	6245 DE LONGPRE AVENUE	90028	(323) 462-2271	OPEN	100	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://sch-hollywood.com/	100	NOT AVAILABLE	N
4	23691706	KINDRED HOSPITAL BALDWIN PARK	NOT AVAILABLE	14148 FRANCISQUITO AVENUE	91706	NOT AVAILABLE	OPEN	95	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://www.khbaldwinpark.com	95	NOT AVAILABLE	N
5	25190712	LAKEWOOD REGIONAL MEDICAL CENTER	NOT AVAILABLE	3700 EAST SOUTH STREET	90712	NOT AVAILABLE	OPEN	172	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://www.lakewoodregional.com	172	NOT AVAILABLE	N
6	30791016	MONROVIA MEMORIAL HOSPITAL	NOT AVAILABLE	323 SOUTH HELIOTROPE AVENUE	91016	NOT AVAILABLE	OPEN	49	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://www.monroviamemorial.com	49	NOT AVAILABLE	N
7	30891754	MONTEREY PARK HOSPITAL	NOT AVAILABLE	900 SOUTH ATLANTIC BOULEVARD	91754	NOT AVAILABLE	OPEN	101	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://www.montereyparkhosp.com	101	NOT AVAILABLE	N
8	47090505	STAR VIEW ADOLESCENT - P H F	NOT AVAILABLE	4025 WEST 226 STREET	90505	NOT AVAILABLE	OPEN	16	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://www.starsinc.com/	16	NOT AVAILABLE	N
9	9092879	CORONA REGIONAL MEDICAL CENTER-MAGNOLIA	NOT AVAILABLE	730 MAGNOLIA AVENUE	92879	NOT AVAILABLE	OPEN	78	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://www.coronaregional.com	78	NOT AVAILABLE	N
10	30696101	MODOC MEDICAL CENTER	NOT AVAILABLE	228 MC DOWELL STREET	96101	NOT AVAILABLE	OPEN	87	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://www.modocmedicalcenter.org	87	NOT AVAILABLE	Y
11	38593901	SALINAS VALLEY MEMORIAL HOSPITAL	NOT AVAILABLE	450 EAST ROMIE LANE	93901	NOT AVAILABLE	OPEN	269	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://www.svmh.com	269	NOT AVAILABLE	N
12	12678414	CORPUS CHRISTI SPECIALTY HOSPITAL	NOT AVAILABLE	1310 THIRD STREET	78414	(361) 888-4323	CLOSED	189	http://www.dshs.state.tx.us/chs/hosp/hosp2.shtm	2014/09/23 00:00:00	NOT AVAILABLE	189	NOT AVAILABLE	Y
13	15992866	HEALTHBRIDGE CHILDREN'S HOSPITAL-ORANGE	NOT AVAILABLE	393 S. TUSTIN STREET	92866	NOT AVAILABLE	OPEN	27	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://www.healthbridgeorange.com	27	NOT AVAILABLE	N
14	16192680	HEALTHSOUTH TUSTIN REHABILITATION HOSPITAL	NOT AVAILABLE	14851 YORBA STREET	92680	NOT AVAILABLE	OPEN	48	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://www.tustinrehab.com	48	NOT AVAILABLE	N
15	23792621	KINDRED HOSPITAL BREA	NOT AVAILABLE	875 NORTH BREA BOULEVARD	92621	NOT AVAILABLE	OPEN	86	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://www.kindredhospitalbrea.com/	86	NOT AVAILABLE	N
16	24392683	KINDRED HOSPITAL WESTMINSTER	NOT AVAILABLE	200 HOSPITAL CIRCLE	92683	NOT AVAILABLE	OPEN	109	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://www.khwestminster.com/	109	NOT AVAILABLE	N
17	22093277	KAWEAH DELTA MENTAL HEALTH HOSPITAL D/P APH	NOT AVAILABLE	1100 SO. AKERS STREET	93277	NOT AVAILABLE	OPEN	63	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://www.kaweahdelta.org	63	NOT AVAILABLE	N
18	1931537	CHARLTON MEMORIAL HOSPITAL	NOT AVAILABLE	2449 THIRD STREET	31537	NOT AVAILABLE	CLOSED	-999	http://167.193.144.247/	2012/11/24 00:00:00	http://www.southcoast.org/charlton/	-999	NOT AVAILABLE	Y
