	ZIP	COUNTY	CITY	STATE
0	93230	KINGS	HANFORD	CA
1	91362	VENTURA	WESTLAKE VILAGE	CA
2	90023	LOS ANGELES	LOS ANGELES	CA
3	90028	LOS ANGELES	HOLLYWOOD	CA
4	91706	LOS ANGELES	BALDWIN PARK	CA
5	90712	LOS ANGELES	LAKEWOOD	CA
6	91016	LOS ANGELES	MONROVIA	CA
7	91754	LOS ANGELES	MONTEREY PARK	CA
8	90505	LOS ANGELES	TORRANCE	CA
9	92879	RIVERSIDE	CORONA	CA
10	96101	MODOC	ALTURAS	CA
11	93901	MONTEREY	SALINAS	CA
12	78414	NUECES	CORPUS CHRISTI	TX
13	92866	ORANGE	ORANGE	CA
14	92680	ORANGE	TUSTIN	CA
15	92621	ORANGE	BREA	CA
16	92683	ORANGE	WESTMINSTER	CA
17	93277	TULARE	VISALIA	CA
18	31537	CHARLTON	FOLKSTON	GA
19	70563	IBERIA	NEW IBERIA	LA
20	77954	HOUSTON	CROCKETT	TX
21	71360	RAPIDES	PINEVILLE	LA
22	71222	UNION	BERNICE	LA
23	71241	UNION	FARMERVILLE	LA
24	71373	CONCORDIA	VIDALIA	LA
25	71418	CALDWELL	COLUMBIA	LA
26	30662	FRANKLIN	ROYSTON	GA
27	90806	LOS ANGELES	LONG BEACH	CA
28	94577	ALAMEDA	SAN LEANDRO	CA
29	90723	LOS ANGELES	PARAMOUNT	CA
30	90650	LOS ANGELES	NORWALK	CA
31	62274	PERRY	PINCKNEYVILLE	IL
32	31419	CHATHAM	SAVANNAH	GA
33	30165	FLOYD	ROME	GA
34	30286	UPSON	THOMASTON	GA
35	31719	SUMTER	AMERICUS	GA
36	31830	MERIWETHER	WARM SPRINGS	GA
37	30265	COWETA	NEWNAN	GA
38	984	METRO	CAROLINA	PR
39	54311	BROWN	GREEN BAY	WI
40	53226	MILWAUKEE	WAUWATOSA	WI
41	956	BAYAMON	BAYAMON	PR
42	71301	RAPIDES	ALEXANDRIA	LA
43	70394	LAFOURCHE	RACELAND	LA
44	70748	EAST FELICIANA	JACKSON	LA
45	70056	JEFFERSON	GRETNA	LA
46	54971	FOND DU LAC	RIPON	WI
47	2908	PROVIDENCE	PROVIDENCE	RI
48	54660	MONROE	TOMAH	WI
49	54452	LINCOLN	MERRILL	WI
50	96001	SHASTA	REDDING	CA
51	93436	SANTA BARBARA	LOMPOC	CA
52	31825	STEWART	RICHLAND	GA
53	91761	SAN BERNARDINO	ONTARIO	CA
54	92354	SAN BERNARDINO	LOMA LINDA	CA
55	92404	SAN BERNARDINO	SAN BERNARDINO	CA
56	92120	SAN DIEGO	SAN DIEGO	CA
57	92037	SAN DIEGO	LA JOLLA	CA
58	92024	SAN DIEGO	ENCINITAS	CA
59	92123	SAN DIEGO	SAN DIEGO	CA
60	92103	SAN DIEGO	SAN DIEGO	CA
61	94118	SAN FRANCISCO	SAN FRANCISCO	CA
62	94115	SAN FRANCISCO	SAN FRANCISCO	CA
63	94117	SAN FRANCISCO	SAN FRANCISCO	CA
64	95403	SONOMA	SANTA ROSA	CA
65	94590	SOLANO	VALLEJO	CA
66	95695	YOLO	WOODLAND	CA
67	94609	ALAMEDA	OAKLAND	CA
68	94578	ALAMEDA	SAN LEANDRO	CA
69	94545	ALAMEDA	HAYWARD	CA
70	95204	SAN JOAQUIN	STOCKTON	CA
71	95204	SAN JOAQUIN	STOCKTON	CA
72	91741	LOS ANGELES	GLENDORA	CA
73	91204	LOS ANGELES	GLENDALE	CA
74	90027	LOS ANGELES	LOS ANGELES	CA
75	91402	LOS ANGELES	PANORAMA CITY	CA
76	91356	LOS ANGELES	TARZANA	CA
77	90020	LOS ANGELES	LOS ANGELES	CA
78	90716	LOS ANGELES	HAWAIIAN GARDENS	CA
79	95422	LAKE	CLEARLAKE	CA
80	93638	MADERA	MADERA	CA
81	92270	RIVERSIDE	RANCHO MIRAGE	CA
82	95124	SANTA CLARA	SAN JOSE	CA
83	95051	SANTA CLARA	SANTA CLARA	CA
84	94304	SANTA CLARA	PALO ALTO	CA
85	94063	SAN MATEO	REDWOOD CITY	CA
86	94520	CONTRA COSTA	CONCORD	CA
87	94509	CONTRA COSTA	ANTIOCH	CA
88	95825	SACRAMENTO	SACRAMENTO	CA
89	95945	NEVADA	GRASS VALLEY	CA
90	90623	ORANGE	LA PALMA	CA
91	92673	ORANGE	SAN CLEMENTE	CA
92	95991	SUTTER	YUBA CITY	CA
93	30143	PICKENS	JASPER	GA
94	30606	CLARKE	ATHENS	GA
95	30080	COBB	SMYRNA	GA
96	2891	WASHINGTON	WESTERLY	RI
97	53715	DANE	MADISON	WI
98	53213	MILWAUKEE	WAUWATOSA	WI
99	53097	OZAUKEE	MEQUON	WI
100	54923	GREEN LAKE	BERLIN	WI
101	72758	BENTON	ROGERS	AR
102	54024	POLK	SAINT CROIX FALLS	WI
103	54017	ST. CROIX	NEW RICHMOND	WI
104	53081	SHEBOYGAN	SHEBOYGAN	WI
105	54665	VERNON	VIROQUA	WI
106	90241	LOS ANGELES	DOWNEY	CA
107	90503	LOS ANGELES	TORRANCE	CA
108	92354	SAN BERNARDINO	LOMA LINDA	CA
109	54904	WINNEBAGO	OSHKOSH	WI
110	20007	DISTRICT OF COLUMBIA	WASHINGTON	DC
111	33525	PASCO	DADE CITY	FL
112	33484	PALM BEACH	DELRAY BEACH	FL
113	34758	OSCEOLA	KISSIMMEE	FL
114	2703	BRISTOL	ATTLEBORO	MA
115	2146	NORFOLK	BROOKLINE	MA
116	32068	CLAY	MIDDLEBURG	FL
117	34471	MARION	OCALA	FL
118	6250	TOLLAND	MANSFIELD CENTER	CT
119	34997	MARTIN	STUART	FL
120	2114	SUFFOLK	BOSTON	MA
121	2129	SUFFOLK	BOSTON	MA
122	2720	BRISTOL	FALL RIVER	MA
123	1904	ESSEX	LYNN	MA
124	1056	HAMPDEN	LUDLOW	MA
125	42728	ADAIR	COLUMBIA	KY
126	50144	DECATUR	LEON	IA
127	66032	ANDERSON	GARNETT	KS
128	67860	KEARNY	LAKIN	KS
129	67467	OTTAWA	MINNEAPOLIS	KS
130	2492	NORFOLK	NEEDHAM	MA
131	2745	BRISTOL	NEW BEDFORD	MA
132	2062	NORFOLK	NORWOOD	MA
133	2537	BARNSTABLE	SANDWICH	MA
134	2143	MIDDLESEX	SOMERVILLE	MA
135	1104	HAMPDEN	SPRINGFIELD	MA
136	72903	SEBASTIAN	FORT SMITH	AR
137	72901	SEBASTIAN	FORT SMITH	AR
138	72143	WHITE	SEARCY	AR
139	72143	WHITE	SEARCY	AR
140	72834	YELL	DARDANELLE	AR
141	71923	CLARK	ARKADELPHIA	AR
142	72616	CARROLL	BERRYVILLE	AR
143	72632	CARROLL	EUREKA SPRINGS	AR
144	71653	CHICOT	LAKE VILLAGE	AR
145	71671	BRADLEY	WARREN	AR
146	72455	RANDOLPH	POCAHONTAS	AR
147	71742	DALLAS	FORDYCE	AR
148	72301	CRITTENDEN	WEST MEMPHIS	AR
149	71701	OUACHITA	CAMDEN	AR
150	72601	BOONE	HARRISON	AR
151	72560	STONE	MOUNTAIN VIEW	AR
152	72454	CLAY	PIGGOTT	AR
153	72543	CLEBURNE	HEBER SPRINGS	AR
154	72110	CONWAY	MORRILTON	AR
155	72205	PULASKI	LITTLE ROCK	AR
156	72117	PULASKI	LITTLE ROCK	AR
157	72113	PULASKI	MAUMELLE	AR
158	71901	GARLAND	HOT SPRINGS	AR
159	71901	GARLAND	HOT SPRINGS	AR
160	71913	GARLAND	HOT SPRINGS	AR
161	72104	HOT SPRING	MALVERN	AR
162	71603	JEFFERSON	PINE BLUFF	AR
163	71603	JEFFERSON	PINE BLUFF	AR
164	72703	WASHINGTON	FAYETTEVILLE	AR
165	31404	CHATHAM	SAVANNAH	GA
166	72703	WASHINGTON	FAYETTEVILLE	AR
