	ID	OWNER
0	5793230	PROPRIETARY
1	53391362	PROPRIETARY
2	11190023	PROPRIETARY
3	17090028	PROPRIETARY
4	23691706	PROPRIETARY
5	25190712	PROPRIETARY
6	30791016	PROPRIETARY
7	30891754	PROPRIETARY
8	47090505	PROPRIETARY
9	9092879	PROPRIETARY
10	30696101	GOVERNMENT - LOCAL
11	38593901	GOVERNMENT - DISTRICT/AUTHORITY
12	12678414	PROPRIETARY
13	15992866	PROPRIETARY
14	16192680	PROPRIETARY
15	23792621	PROPRIETARY
16	24392683	PROPRIETARY
17	22093277	GOVERNMENT - DISTRICT/AUTHORITY
18	1931537	GOVERNMENT - DISTRICT/AUTHORITY
19	5870563	PROPRIETARY
20	13177954	NON-PROFIT
21	4671360	GOVERNMENT - STATE
22	15671222	GOVERNMENT - DISTRICT/AUTHORITY
23	16971241	PROPRIETARY
24	15371373	PROPRIETARY
25	5371418	GOVERNMENT - DISTRICT/AUTHORITY
26	22830662	PROPRIETARY
27	70990806	PROPRIETARY
28	71794577	NOT AVAILABLE
29	72590723	PROPRIETARY
30	73790650	GOVERNMENT - STATE
31	196162274	GOVERNMENT - LOCAL
32	85531419	NON-PROFIT
33	86630165	NOT AVAILABLE
34	87130286	NOT AVAILABLE
35	87531719	NOT AVAILABLE
36	87931830	NOT AVAILABLE
37	90030265	PROPRIETARY
38	196500984	NOT AVAILABLE
39	2054311	GOVERNMENT - LOCAL
40	151253226	NOT AVAILABLE
41	196600956	NOT AVAILABLE
42	159171301	NOT AVAILABLE
43	163570394	NOT AVAILABLE
44	164970748	GOVERNMENT - STATE
45	160970056	PROPRIETARY
46	152354971	NOT AVAILABLE
47	13402908	GOVERNMENT - FEDERAL
48	15954660	GOVERNMENT - FEDERAL
49	5854452	NON-PROFIT
50	58796001	PROPRIETARY
51	59093436	PROPRIETARY
52	23831825	GOVERNMENT - DISTRICT/AUTHORITY
53	21891761	NON-PROFIT
54	25692354	NON-PROFIT
55	44792404	NON-PROFIT
56	20092120	NON-PROFIT
57	40992037	NON-PROFIT
58	41092024	NON-PROFIT
59	42292123	NON-PROFIT
60	51092103	NON-PROFIT
61	4894118	NON-PROFIT
62	5094115	NON-PROFIT
63	46594117	NON-PROFIT
64	20595403	NON-PROFIT
65	19594590	NON-PROFIT
66	53195695	NON-PROFIT
67	1294609	NON-PROFIT
68	39794578	NON-PROFIT
69	46694545	NON-PROFIT
70	45995204	NON-PROFIT
71	46095204	NON-PROFIT
72	13291741	NON-PROFIT
73	14791204	NON-PROFIT
74	19090027	NON-PROFIT
75	19391402	NON-PROFIT
76	36691356	NON-PROFIT
77	42990020	NON-PROFIT
78	50190716	NON-PROFIT
79	45295422	NON-PROFIT
80	6193638	NON-PROFIT
81	11792270	NON-PROFIT
82	15295124	NON-PROFIT
83	20495051	NON-PROFIT
84	27094304	NON-PROFIT
85	19494063	NON-PROFIT
86	18094520	NON-PROFIT
87	47794509	NON-PROFIT
88	19995825	NON-PROFIT
89	43195945	NON-PROFIT
90	24690623	NON-PROFIT
91	38492673	NON-PROFIT
92	13795991	NON-PROFIT
93	10230143	NON-PROFIT
94	15530606	NON-PROFIT
95	14130080	NON-PROFIT
96	502891	NON-PROFIT
97	1553715	NON-PROFIT
98	8253213	NON-PROFIT
99	9753097	NON-PROFIT
100	4354923	NON-PROFIT
101	63072758	NOT AVAILABLE
102	10454024	NON-PROFIT
103	11854017	NON-PROFIT
104	12453081	NON-PROFIT
105	13154665	NON-PROFIT
106	72390241	NON-PROFIT
107	72790503	NON-PROFIT
108	58592354	NON-PROFIT
109	15254904	NON-PROFIT
110	75420007	GOVERNMENT - STATE
111	31233525	PROPRIETARY
112	7233484	PROPRIETARY
113	36034758	PROPRIETARY
114	9802703	PROPRIETARY
115	9702146	PROPRIETARY
116	36232068	NON-PROFIT
117	36334471	PROPRIETARY
118	3906250	NON-PROFIT
119	36634997	PROPRIETARY
120	10502114	NON-PROFIT
121	10602129	NON-PROFIT
122	11402720	GOVERNMENT - STATE
123	12101904	NON-PROFIT
124	12001056	PROPRIETARY
125	12142728	NON-PROFIT
126	13050144	GOVERNMENT - LOCAL
127	4466032	NON-PROFIT
128	7567860	GOVERNMENT - LOCAL
129	7767467	NON-PROFIT
130	3502492	NON-PROFIT
131	12402745	PROPRIETARY
132	4002062	PROPRIETARY
133	12602537	NON-PROFIT
134	6702143	GOVERNMENT - DISTRICT/AUTHORITY
135	12701104	NON-PROFIT
136	372903	NON-PROFIT
137	7472901	PROPRIETARY
138	9700000	NON-PROFIT
139	10172143	NON-PROFIT
140	10272834	PROPRIETARY
141	2271923	NON-PROFIT
142	872616	NON-PROFIT
143	1072632	PROPRIETARY
144	2871653	PROPRIETARY
145	671671	NON-PROFIT
