	id	Seating Interest (Sidewalk/Roadway/Both)	Restaurant Name	Legal Business Name	Doing Business As (DBA)	Postcode	Business Address	Food Service Establishment Permit #	Approved for Sidewalk Seating	Approved for Roadway Seating	Qualify Alcohol	SLA License Type	Landmark District or Building	landmarkDistrict_terms	healthCompliance_terms	Time of Submission	BIN	BBL	NTA
0	1	sidewalk	SUBWAY	FRESH SUBWAY 168 INC	Fresh Sub 168 Inc	11365	18524A HORACE HARDING EXPY, Queens, NY	50053455	yes	no	no		no	no	yes	08/25/2020 08:48:00 PM			Not Available
1	2	both	Warique	Dream team restaurant associates inc	Dream team restaurant associates inc	11372	90-04  37 ave , Queens, NY	50105335	yes	yes	no		no	no	yes	08/20/2020 05:32:00 PM	4036347.0	4014780001.0	Jackson Heights
2	3	both	Prince Laban&Chinese restaurent	Renessa inc.	Prince Kababish & Chinese restaurant	11372	3756 74 street, Queens, NY	50069734	yes	yes	no		no	no	yes	08/15/2020 04:55:00 PM	4029808.0	4012840065.0	Jackson Heights
3	4	sidewalk	Philly Pretzel Factory	Snacking Made Easy LLC	Philly Pretzel Factory	11217	131 5th Ave, Brooklyn, NY	50097413	yes	no	no		no	no	yes	08/15/2020 09:58:00 AM	3019193.0	3009440004.0	Park Slope-Gowanus
4	5	roadway	About Coffee	ABOUT COFFEE LLC	ABOUT COFFEE	10012	71 SULLIVAN STREET, Manhattan, NY	50047872	no	yes	no		no	no	yes	08/14/2020 05:08:00 PM	1007347.0	1004890008.0	SoHo-TriBeCa-Civic Center-Little Italy
5	6	both	BICKLES TO GO	BICKLES 2 GO INC	BICKLES 2 GO	10451	726 COURTLANDT AVE, Bronx, NY	50104163	yes	yes	no		no	no	yes	08/17/2020 10:29:00 AM	2091199.0	2024020005.0	Melrose South-Mott Haven North
6	7	both	BLUE BOTTLE COFFEE	BLUE BOTTLE COFFEE, INC	BLUE BOTTLE COFFEE	10005	20 BROAD STREET, Manhattan, NY	50104404	yes	yes	no		yes	yes	yes	08/26/2020 10:45:00 AM			Not Available
7	8	both	NEW CHOI FOOK RESTAURANT	NEW CHOI FOOK RESTAURANT	NEW CHOI FOOK RESTAURANT	11214	2050  86th Street, Brooklyn, NY	50078609	yes	yes	no		no	no	yes	08/20/2020 03:09:00 PM	3166942.0	3063760045.0	Bensonhurst West
8	9	sidewalk	Seasoned Vegan	Seasoned Vegan, LLC	Seasoned Vegan, LLC	10026	55 St. Nicholas Avenue, Manhattan, NY	50003337	yes	no	yes	RW	no	no	yes	06/26/2020 08:38:00 PM	1054995.0	1018220052.0	Central Harlem South
9	10	both	Le Pain Quotidien GCW	APQ Grand Central West NY, LLC	Le Pain Quotidien	10017	16 East 44th St., Manhattan, NY	50105624	yes	yes	no		no	no	yes	08/17/2020 09:46:00 AM	1035357.0	1012780014.0	Midtown-Midtown South
10	11	both	Asian Kabab and Curry	Asian Kabab and Curry Inc	Asian Kabab and Curry Inc	11208	496 Crescent, Brooklyn, NY	50056793	yes	yes	no		no	no	yes	08/14/2020 06:10:00 PM			Not Available
11	12	both	35-09 Ditmars Bagel Corp	35-09 Ditmars Bagel Corp	Brooklyn Bagel & Coffee Company	11105	35-09 Ditmars Blvd, Queens, NY	41031977	yes	yes	no		no	no	yes	08/16/2020 05:22:00 PM	4016549.0	4008240004.0	Steinway
