	Borough	Postcode
0	Queens	11365
1	Queens	11372
2	Queens	11372
3	Brooklyn	11217
4	Manhattan	10012
5	Bronx	10451
6	Manhattan	10005
7	Brooklyn	11214
8	Manhattan	10026
9	Manhattan	10017
10	Brooklyn	11208
11	Queens	11105
12	Bronx	10462
13	Manhattan	10001
14	Queens	11372
15	Brooklyn	11237
16	Manhattan	10009
17	Manhattan	10280
18	Brooklyn	11204
19	Manhattan	10036
20	Manhattan	10003
21	Queens	11106
22	Bronx	10465
23	Queens	11372
24	Brooklyn	11230
25	Manhattan	10158
26	Manhattan	10002
27	Manhattan	10013
28	Manhattan	10010
29	Manhattan	10033
30	Bronx	10462
31	Queens	11385
32	Manhattan	10003
33	Brooklyn	11237
34	Brooklyn	11229
35	Manhattan	10027
36	Manhattan	10019
37	Manhattan	10023
38	Queens	11377
39	Bronx	10468
40	Manhattan	10001
41	Brooklyn	11221
42	Manhattan	10017
43	Queens	11103
44	Manhattan	10036
45	Manhattan	10036
46	Brooklyn	11212
47	Brooklyn	11223
48	Queens	11368
49	Queens	11366
50	Brooklyn	11208
51	Brooklyn	11237
52	Queens	11373
53	Brooklyn	11226
54	Manhattan	10029
55	Brooklyn	11208
56	Manhattan	10065
57	Manhattan	10026
58	Manhattan	10018
59	Queens	11354
60	Manhattan	10028
61	Brooklyn	11211
62	Bronx	10462
63	Manhattan	10026
64	Bronx	10472
65	Queens	11377
66	Manhattan	10128
67	Brooklyn	11230
68	Manhattan	10007
69	Manhattan	10013
70	Manhattan	10075
71	Manhattan	10010
72	Brooklyn	11222
73	Manhattan	10017
74	Bronx	10468
75	Manhattan	10025
76	Manhattan	10026
77	Manhattan	10010
78	Queens	11354
79	Manhattan	10007
80	Brooklyn	11201
81	Queens	11372
82	Manhattan	10012
83	Manhattan	10281
84	Queens	11377
85	Manhattan	10022
86	Manhattan	10021
87	Manhattan	10001
88	Manhattan	10018
89	Manhattan	10012
90	Brooklyn	11214
91	Queens	11372
92	Brooklyn	11220
93	Manhattan	10003
94	Brooklyn	11211
95	Queens	11377
96	Brooklyn	11201
97	Queens	11365
98	Manhattan	10019
99	Queens	11355
100	Brooklyn	11217
101	Queens	11372
102	Queens	11103
103	Brooklyn	11237
104	Manhattan	10280
105	Manhattan	10002
106	Queens	11374
107	Manhattan	10011
108	Queens	11354
109	Brooklyn	11201
110	Manhattan	10012
111	Manhattan	10032
112	Queens	11372
113	Brooklyn	11235
114	Brooklyn	11209
115	Queens	11385
116	Brooklyn	11219
117	Queens	11103
118	Bronx	10454
119	Manhattan	10018
120	Brooklyn	11219
121	Manhattan	10004
122	Manhattan	10003
123	Queens	11385
124	Manhattan	10031
125	Queens	11422
126	Bronx	10455
127	Brooklyn	11221
128	Queens	11422
129	Brooklyn	11209
130	Manhattan	10012
131	Queens	11375
132	Manhattan	10128
133	Bronx	10471
134	Queens	11103
135	Manhattan	10018
136	Queens	11103
137	Manhattan	10036
138	Manhattan	10004
139	Brooklyn	11220
140	Manhattan	10040
141	Manhattan	10009
142	Queens	11105
143	Manhattan	10002
144	Brooklyn	11237
145	Manhattan	10003
146	Manhattan	10031
147	Manhattan	10013
148	Manhattan	10003
149	Brooklyn	11211
150	Queens	11356
151	Manhattan	10013
152	Brooklyn	11217
153	Queens	11375
154	Queens	11354
155	Manhattan	10075
156	Manhattan	10010
157	Manhattan	10014
158	Manhattan	10012
159	Bronx	10455
160	Manhattan	10016
161	Queens	11373
162	Queens	11374
163	Queens	11368
164	Manhattan	10026
165	Manhattan	10028
166	Brooklyn	11215
167	Manhattan	10002
168	Manhattan	10021
169	Manhattan	10011
170	Manhattan	10029
171	Brooklyn	11217
172	Manhattan	10007
173	Queens	11106
174	Brooklyn	11201
175	Manhattan	10025
176	Manhattan	10030
177	Brooklyn	11215
178	Brooklyn	11206
179	Queens	11375
180	Manhattan	10016
181	Brooklyn	11222
182	Queens	11432
183	Queens	11102
184	Manhattan	10012
185	Manhattan	10028
186	Manhattan	10038
187	Queens	11372
188	Manhattan	10002
189	Manhattan	10012
190	Brooklyn	11235
191	Brooklyn	11224
192	Manhattan	10005
193	Manhattan	10036
194	Queens	11354
195	Brooklyn	11226
196	Brooklyn	11219
197	Manhattan	10002
198	Manhattan	10021
199	Manhattan	10013
200	Brooklyn	11249
201	Manhattan	10024
202	Queens	11372
203	Manhattan	10038
204	Manhattan	10016
205	Manhattan	10019
206	Queens	11356
207	Queens	11354
208	Brooklyn	11215
209	Brooklyn	11201
210	Queens	11372
211	Brooklyn	11211
212	Queens	11369
213	Queens	11372
214	Brooklyn	11201
215	Brooklyn	11216
216	Queens	11372
217	Queens	11372
218	Queens	11372
219	Brooklyn	11215
220	Manhattan	10177
221	Manhattan	10021
222	Manhattan	10016
223	Bronx	10458
224	Manhattan	10029
225	Manhattan	10004
226	Manhattan	10004
227	Queens	11004
228	Bronx	10472
229	Manhattan	10011
230	Bronx	10458
231	Manhattan	10025
232	Brooklyn	11201
233	Manhattan	10016
234	Bronx	10458
235	Brooklyn	11210
236	Manhattan	10003
237	Manhattan	10001
238	Manhattan	10104
239	Queens	11368
240	Manhattan	10009
241	Brooklyn	11215
242	Manhattan	10003
243	Manhattan	10025
244	Manhattan	10002
245	Manhattan	10016
246	Manhattan	10016
247	Manhattan	10018
248	Manhattan	10021
249	Manhattan	10003
250	Manhattan	10017
251	Queens	11373
252	Bronx	10458
253	Manhattan	10023
254	Brooklyn	11249
255	Staten Island	10314
256	Brooklyn	11249
257	Manhattan	10032
258	Brooklyn	11249
259	Brooklyn	11237
260	Brooklyn	11237
261	Manhattan	10028
262	Queens	11372
263	Brooklyn	11220
264	Brooklyn	11201
265	Queens	11385
266	Manhattan	10028
267	Manhattan	10009
268	Queens	11103
269	Manhattan	10003
270	Manhattan	10002
271	Manhattan	10005
272	Queens	11106
273	Bronx	10458
274	Brooklyn	11204
275	Queens	11372
276	Manhattan	10019
277	Brooklyn	11212
278	Brooklyn	11223
279	Manhattan	10002
280	Manhattan	10003
281	Brooklyn	11216
282	Brooklyn	11249
283	Brooklyn	11249
284	Queens	11355
285	Brooklyn	11222
286	Manhattan	10019
287	Queens	11377
288	Manhattan	10023
289	Brooklyn	11229
290	Manhattan	10003
291	Manhattan	10001
292	Manhattan	10018
293	Manhattan	10018
294	Manhattan	10012
295	Manhattan	10019
296	Manhattan	10016
297	Brooklyn	11215
298	Brooklyn	11235
299	Manhattan	10006
300	Manhattan	10002
301	Brooklyn	11238
302	Manhattan	10024
303	Brooklyn	11203
304	Manhattan	10006
305	Brooklyn	11218
306	Brooklyn	11231
307	Manhattan	10018
308	Manhattan	10029
309	Brooklyn	11215
310	Brooklyn	11203
311	Queens	11372
312	Manhattan	10013
313	Manhattan	10075
314	Brooklyn	11211
315	Manhattan	10002
316	Manhattan	10065
317	Queens	11365
318	Bronx	10467
319	Manhattan	10009
320	Manhattan	10036
321	Queens	11354
322	Manhattan	10016
323	Queens	11101
324	Manhattan	10003
325	Brooklyn	11207
326	Brooklyn	11223
327	Manhattan	10002
328	Brooklyn	11214
329	Manhattan	10003
330	Brooklyn	11201
331	Manhattan	10013
332	Manhattan	10028
333	Manhattan	10023
334	Manhattan	10027
335	Manhattan	10013
