	Facility #	Business Type
0	7123280	RS 
1	7122554	RS 
2	7116731	RS 
3	7063203	RS 
4	3010356	RS 
5	7116962	RS 
6	7001863	RS 
7	7121502	RS 
8	7125522	RS 
9	7068059	RS 
10	7101239	RS 
11	7098865	RS 
12	7103688	RS 
13	7051229	RS 
14	3010134	RS 
15	7070582	RS 
16	7073596	RS 
17	3010372	RS 
18	7084173	RS 
19	7105307	RS 
20	7123089	RS 
21	7108128	RS 
22	7126278	RS 
23	7060933	RS 
24	7104656	RS 
25	7123804	RS 
26	3010468	RS 
27	7066405	RS 
28	7123145	RS 
29	7111795	RS 
30	3010045	RS 
31	7034558	RS 
32	7093330	RS 
33	7090053	RS 
34	7124244	RS 
35	7117664	RSB
36	7119618	RS 
37	7048834	RSB
38	7037318	RSB
39	7032249	RSB
40	7052744	RS 
41	7116086	RS 
42	3010253	RSB
43	7030787	RS 
44	7099805	RS 
45	7110239	RS 
46	7110232	RS 
47	7109610	RS 
48	7091172	RS 
49	7102046	RS 
50	3010751	RSB
51	3010721	RS 
52	7121871	RS 
53	7114726	RS 
54	7124801	RS 
55	7051598	RS 
56	7028551	RSB
57	7103465	RS 
58	7114959	RSB
59	7103219	RS 
60	7103122	RSB
61	7120029	RSB
62	3010031	RS 
63	7103952	RS 
64	7081461	RS 
65	7077492	RS 
66	7063179	RS 
67	7108969	RS 
68	7097398	RS 
69	7058755	RS 
70	3010116	RS 
71	3470408	RS 
72	7122247	RS 
73	7100673	RS 
74	3010077	RS 
75	7120095	RS 
76	3010239	RSB
77	7046850	RS 
78	7078927	RS 
79	3010234	RS 
80	3010120	RS 
81	7072178	RS 
82	7111216	RS 
83	7060687	RS 
84	7119820	RS 
85	3010237	RS 
86	3010236	RS 
87	7109483	RS 
88	3010174	RS 
89	7038365	RSB
90	3010110	RS 
91	7126701	RS 
92	7110516	RS 
93	7117924	RS 
94	7122289	RS 
95	7002493	RS 
96	7109861	RS 
97	3420306	RS 
98	7116877	RS 
99	7123962	RS 
100	3010192	RS 
101	3010064	RS 
102	3010121	RS 
103	7089496	RSB
104	7113255	RS 
105	7122385	RS 
106	7116779	RS 
107	3010144	RS 
108	7124973	RS 
109	7107994	RS 
110	7000460	RS 
111	7047828	RS 
112	7076213	RS 
113	7098675	RS 
114	7068557	RS 
115	7093105	RS 
116	7105468	RS 
117	7069237	RS 
118	7119460	RS 
119	3010632	RS 
120	7086352	RS 
121	7121355	RS 
122	7090355	RS 
123	7112225	RS 
124	7124675	RS 
125	7115736	RS 
126	7110357	RS 
127	3010713	RSB
128	7066937	RS 
129	3010364	RS 
130	7110928	RS 
131	7089318	RS 
132	7011367	RS 
133	3010043	RS 
134	3010619	RS 
135	7086497	RS 
136	7009528	RS 
137	7120726	RS 
138	7071864	RS 
139	7032042	RSB
140	7054184	RS 
141	7125563	RS 
142	7107267	RS 
143	7107266	RS 
144	7118528	RS 
145	7109233	RS 
146	7106620	RS 
147	7039825	RSB
148	7084399	RS 
149	7100830	RS 
150	7111611	RS 
151	7086809	RS 
152	7121304	RS 
153	7113037	RS 
154	7121036	RS 
155	7062261	RS 
156	3010591	RS 
157	7120126	RS 
158	7095063	RS 
159	7127188	RS 
160	7115903	RS 
161	7122746	RS 
162	3010157	RS 
163	3010492	RS 
164	7109185	RSB
165	7105880	RS 
166	3010122	RS 
167	3010758	RS 
168	7083286	RS 
169	7074426	RS 
170	7064848	RS 
171	7103975	RS 
172	7109950	RS 
173	3010038	RSB
174	7108708	RS 
175	3010552	RS 
176	7126504	RS 
177	7036352	RS 
178	7036049	RS 
179	7119288	RS 
180	7090832	RS 
181	7117422	RS 
182	3010328	RS 
183	7109163	RS 
184	3010090	RS 
185	7032878	RS 
186	7116799	RS 
187	7119779	RS 
188	3010189	RS 
189	7054008	RS 
190	7079338	RS 
191	7107582	RS 
192	7113527	RS 
193	7108387	RSB
194	3010126	RS 
195	7095139	RS 
196	7112124	RS 
197	7034747	RSB
198	3010252	RS 
199	7000185	RS 
200	7094515	RS 
201	7076202	RS 
202	7088070	RS 
203	7103326	RS 
204	7091163	RS 
205	7090248	RS 
206	7082026	RS 
207	7087896	RS 
208	3010370	RSB
209	3010724	RS 
210	7122087	RS 
211	3010269	RS 
212	7118115	RS 
213	7122060	RS 
214	7061563	RS 
215	7117446	RS 
216	7022514	RS 
217	7064529	RSB
218	7079020	RS 
219	7112721	RS 
220	7111214	RSB
221	3010275	RS 
222	7066886	RS 
223	7122717	RS 
224	7120493	RS 
225	7110648	RS 
226	7093814	RS 
227	7102706	RS 
228	7115533	RS 
229	7043975	RS 
230	7081973	RS 
231	7115863	RS 
232	7118022	RSB
233	3010179	RS 
234	3010556	RS 
235	7126942	RS 
236	7041812	RS 
237	7066648	RS 
238	7041554	RS 
239	7095443	RS 
240	3010677	RS 
241	7098007	RS 
242	7059906	RS 
243	3010753	RSB
244	7083009	RS 
245	7121059	RS 
246	7100151	RS 
247	7075660	RS 
248	7058727	RS 
249	3010096	RS 
250	3010282	RS 
251	7056522	RS 
252	7043257	RSB
253	7028616	RS 
254	3010320	RS 
255	7100495	RS 
256	7047067	RS 
257	7124149	RSB
258	7122257	RS 
259	7109243	RSB
260	7093113	RS 
261	7124315	RS 
262	7078608	RS 
263	3010594	RS 
264	7087683	RS 
265	7094312	RS 
266	7122063	RS 
267	7104567	RS 
268	7083653	RS 
269	7042266	RS 
270	7009554	RS 
271	3010001	RS 
272	7032309	RS 
273	7035635	RSB
274	7093374	RS 
275	7026379	RS 
276	7088449	RS 
277	7082171	RS 
278	7113982	RS 
279	7106236	RS 
280	7028698	RS 
281	7091816	RS 
282	7120714	RS 
283	7078207	RS 
284	7120336	RS 
285	7119668	RS 
286	7065664	RS 
287	3010281	RS 
288	7022891	RS 
289	7001547	RSB
290	7069212	RS 
291	7043029	RSB
292	7085089	RS 
293	7109161	RS 
294	3010712	RSB
295	3010615	RSB
296	3420415	RS 
297	7066318	RS 
298	7117151	RS 
299	7097150	RS 
300	7094330	RS 
301	7034781	RSB
302	7093378	RS 
303	7108090	RS 
304	7045414	RS 
305	7061828	RS 
306	7125149	RS 
307	3010445	RS 
308	7120792	RS 
309	7088432	RS 
310	7124862	RS 
311	7096194	RS 
312	7120335	RS 
313	7118257	RS 
314	7123214	RS 
315	3010643	RS 
316	7126232	RS 
317	7020221	RS 
318	3010310	RSB
319	7118334	RS 
320	7062287	RS 
321	7071457	RSB
322	7116299	RS 
323	3010238	RS 
324	7127413	RS 
325	7116717	RS 
326	3010684	RS 
327	7122299	RS 
328	3010191	RS 
329	7093376	RS 
330	7041427	RS 
331	7118444	RS 
332	7097893	RS 
333	3010151	RS 
334	7037632	RSB
335	7074909	RS 
336	3010509	RS 
337	7080212	RS 
338	7079865	RS 
339	3010123	RSB
340	7082856	RS 
341	3010011	RS 
342	7120469	RS 
343	7104200	RS 
344	7109700	RS 
345	3010160	RS 
346	7107268	RS 
347	7079235	RS 
348	7068419	RS 
349	3010020	RS 
350	7053910	RS 
351	7039418	RS 
352	3010205	RS 
353	7120337	RS 
354	7109068	RS 
355	7126586	RS 
356	3010507	RS 
357	7117021	RS 
358	7125952	RS 
359	3010209	RS 
360	7119275	RS 
361	7082168	RS 
362	7038551	RS 
363	7104036	RS 
364	7126718	RS 
365	7116455	RS 
366	7074838	RS 
367	7117081	RS 
368	7101603	RS 
369	3010719	RS 
370	7088045	RS 
371	7121429	RS 
372	7109230	RS 
373	7117383	RS 
374	7121047	RS 
375	7103015	RS 
376	7109062	RS 
377	7106372	RS 
378	3010610	RS 
379	7058861	RS 
380	7079600	RS 
381	7112139	RS 
382	7066237	RS 
383	7124064	RS 
384	7091610	RS 
385	7124661	RSB
386	7042313	RS 
387	7039644	RS 
388	7069696	RS 
389	7108586	RS 
390	7112041	RS 
391	3010339	RSB
392	7052483	RS 
393	7024429	RS 
394	7095039	RS 
395	7061617	RS 
396	7123614	RS 
397	3010270	RS 
398	7112560	RS 
399	7123209	RS 
400	7114662	RS 
401	7105669	RS 
402	7040553	RS 
403	3010152	RS 
404	7035418	RS 
405	7039796	RS 
406	7068592	RS 
407	3010297	RS 
408	7118289	RS 
409	7043812	RS 
410	7101392	RS 
411	7091602	RS 
412	7093158	RS 
413	7054351	RS 
414	7112936	RS 
415	7105310	RS 
416	7126854	RS 
417	3010317	RS 
418	7109592	RS 
419	7000017	RS 
420	7072848	RS 
421	7121940	RS 
422	7115463	RS 
423	7106832	RSB
424	7034683	RS 
425	3010741	RS 
426	7032204	RSB
427	7056110	RS 
428	7064335	RS 
429	7045659	RS 
430	7022045	RSB
431	3010570	RS 
432	7084955	RS 
433	7040648	RSB
434	7081423	RS 
435	7111281	RS 
436	3010613	RS 
437	7125755	RSB
438	7068274	RSB
439	7025853	RS 
440	7058527	RS 
441	7085266	RS 
442	7043044	RS 
443	7114135	RS 
444	7099031	RSB
445	7020691	RSB
446	7120139	RS 
447	7096295	RSB
448	7007940	RS 
449	7104520	RS 
450	7102605	RS 
451	7114132	RS 
452	7110075	RS 
453	7045955	RS 
454	7122844	RS 
455	7124857	RS 
456	7078240	RS 
457	7117425	RS 
458	7118699	RSB
459	7078891	RS 
460	7038556	RS 
461	7098742	RS 
462	7121981	RS 
463	7122374	RS 
464	7099690	RS 
465	7093815	RS 
466	7115720	RS 
467	7108779	RS 
468	7003359	RS 
469	7116954	RS 
470	7125562	RS 
471	7097548	RS 
472	7112952	RS 
473	5020004	RS 
474	7103833	RS 
475	7109737	RS 
476	7116340	RS 
477	7004806	RS 
478	7085559	RS 
479	7126271	RS 
480	7098584	RS 
481	7100579	RS 
482	5020028	RS 
483	7037330	RSB
484	7001377	RS 
485	7070153	RS 
486	7106096	RS 
487	7117201	RS 
488	7092834	RS 
489	5020179	RSB
490	7006062	RS 
491	7114058	RS 
492	7088737	RS 
493	7122672	RSB
494	7045111	RS 
495	7017204	RS 
496	5050299	RS 
497	7113644	RSB
498	7085497	RS 
499	7105180	RS 
500	7043417	RSB
501	7119498	RSB
502	7023327	RS 
503	7112096	RS 
504	7100281	RS 
505	7043852	RSB
506	7028634	RS 
507	7123840	RS 
508	7063199	RS 
509	7103473	RS 
510	7087750	RS 
511	7073212	RSB
512	7023752	RS 
513	7077961	RS 
514	7104410	RS 
515	7121063	RS 
516	7112700	RS 
517	5020009	RS 
518	7087608	RS 
519	7102806	RS 
520	7108413	RS 
521	7082922	RS 
522	7081182	RS 
523	7057846	RS 
524	7093392	RS 
525	7054810	RS 
526	7020780	RSB
527	7120613	RS 
528	7115451	RS 
529	7104802	RS 
530	7032238	RS 
531	7086508	RS 
532	7114906	RS 
533	7118497	RSB
534	7086667	RS 
535	7124696	RS 
536	7113587	RS 
537	7016846	RS 
538	7126091	RS 
539	7111352	RS 
540	7109461	RS 
541	5020015	RS 
542	7088165	RSB
543	5020128	RS 
544	7103775	RS 
545	7064591	RS 
546	7074598	RS 
547	7039263	RS 
548	7107497	RSB
549	7114086	RS 
550	7026287	RS 
551	7071523	RS 
552	7108239	RSB
553	7088765	RSB
