	Facility Zip Code	Facility County	Facility City	Facility State
0	12202	ALBA	ALBANY         	NY
1	12202	ALBA	ALBANY         	NY
2	12206	ALBA	ALBANY         	NY
3	12205	ALBA	ALBANY         	NY
4	12206	ALBA	ALBANY         	NY
5	12205	ALBA	ALBANY         	NY
6	12205	ALBA	ALBANY         	NY
7	12205	ALBA	ALBANY         	NY
8	12205	ALBA	ALBANY         	NY
9	12205	ALBA	ALBANY         	NY
10	12203	ALBA	ALBANY         	NY
11	12210	ALBA	ALBANY         	NY
12	12206	ALBA	ALBANY         	NY
13	12202	ALBA	ALBANY         	NY
14	12205	ALBA	ALBANY         	NY
15	12205	ALBA	ALBANY         	NY
16	12204	ALBA	ALBANY         	NY
17	12207	ALBA	ALBANY         	NY
18	12204	ALBA	ALBANY         	NY
19	12203	ALBA	ALBANY         	NY
20	12203	ALBA	ALBANY         	NY
21	12202	ALBA	ALBANY         	NY
22	12202	ALBA	ALBANY         	NY
23	12206	ALBA	ALBANY         	NY
24	12202	ALBA	ALBANY         	NY
25	12203	ALBA	ALBANY         	NY
26	12206	ALBA	ALBANY         	NY
27	12205	ALBA	ALBANY         	NY
28	12205	ALBA	ALBANY         	NY
29	12205	ALBA	ALBANY         	NY
30	12205	ALBA	ALBANY         	NY
31	12205	ALBA	ALBANY         	NY
32	12206	ALBA	ALBANY         	NY
33	12205	ALBA	ALBANY         	NY
34	12204	ALBA	ALBANY         	NY
35	12210	ALBA	ALBANY         	NY
36	12202	ALBA	ALBANY         	NY
37	12202	ALBA	ALBANY         	NY
38	12206	ALBA	ALBANY         	NY
39	12206	ALBA	ALBANY         	NY
40	12205	ALBA	ALBANY         	NY
41	12205	ALBA	ALBANY         	NY
42	12206	ALBA	ALBANY         	NY
43	12205	ALBA	ALBANY         	NY
44	12206	ALBA	ALBANY         	NY
45	12205	ALBA	ALBANY         	NY
46	12205	ALBA	ALBANY         	NY
47	12205	ALBA	ALBANY         	NY
48	12210	ALBA	ALBANY         	NY
49	12205	ALBA	ALBANY         	NY
50	12210	ALBA	ALBANY         	NY
51	12205	ALBA	ALBANY         	NY
52	12205	ALBA	ALBANY         	NY
53	12202	ALBA	ALBANY         	NY
54	12206	ALBA	ALBANY         	NY
55	12205	ALBA	ALBANY         	NY
56	12205	ALBA	ALBANY         	NY
57	12202	ALBA	ALBANY         	NY
58	12206	ALBA	ALBANY         	NY
59	12206	ALBA	ALBANY         	NY
60	12205	ALBA	ALBANY         	NY
61	12205	ALBA	ALBANY         	NY
62	12205	ALBA	ALBANY         	NY
63	12205	ALBA	ALBANY         	NY
64	12202	ALBA	ALBANY         	NY
65	12206	ALBA	ALBANY         	NY
66	12205	ALBA	ALBANY         	NY
67	12206	ALBA	ALBANY         	NY
68	12203	ALBA	ALBANY         	NY
69	12209	ALBA	ALBANY         	NY
70	12205	ALBA	ALBANY         	NY
71	12206	ALBA	ALBANY         	NY
72	12206	ALBA	ALBANY         	NY
73	12206	ALBA	ALBANY         	NY
