	Facility #	Facility Name	Facility Name Overflow	Facility Street	Owner Name 	Owner Name Overflow	Business Type	Original Issuance Date	Last Renewal Date	Expiration Date
0	7123280	3 OK AUTO CARE INC  	                    	479 PEARL ST        	JAMES UNDERWOOD     	                    	RS 	11/30/2017		10/31/2019
1	7122554	518 MOTORSPORTS LLC 	                    	479 SO PEARL ST     	PEDRO CEDENO        	                    	RS 	08/01/2017		07/31/2019
2	7116731	A 1 AUTOMOTIVE      	                    	707 THIRD STREET    	CHAD J NICHOLS      	                    	RS 	10/10/2013		09/30/2015
3	7063203	AAMCO TRANSMISSIONS 	IN THE ESTATE OF    	1029 CENTRAL AVE    	DUVA INC            	                    	RS 	05/27/1993	04/02/2019	04/30/2021
4	3010356	AAPG INC            	                    	808 CENTRAL AV      	RONALD ABBOTT       	                    	RS 	05/19/1980	05/15/2020	05/31/2022
5	7116962	AASHARK AUTOMOTIVE  	LLC                 	1054 CENTRAL AVE    	ANTHONY J ANDERSEN  	                    	RS 	11/27/2013		10/31/2015
6	7001863	ABELE TRACTOR&EQUIP 	CO INC              	72 EVERETT RD       	RODNEY ABELE        	                    	RS 	09/22/1981	06/25/2019	08/31/2021
7	7121502	ACCESS AUTO SALES   	AND SERVICE         	68 FULLER ROAD      	JOSEPH LOMBARDI     	                    	RS 	10/14/2016	08/07/2020	09/30/2022
8	7125522	ACTION ENTERPRISE 1 	LLC                 	9A NORMAN DRIVE     	DIANE RICH WOLFE    	                    	RS 	04/30/2019		03/31/2021
9	7068059	ADIRONDACK HERCULES 	TIRE CORP           	2015 CENTRAL AV     	LAWRENCE OSHEA      	                    	RS 	08/30/1994	06/10/2020	07/31/2022
10	7101239	ADIRONDACK HERCULES 	TIRE CORP           	1610 WESTERN AVE    	LAWRENCE OSHEA      	                    	RS 	02/22/2006	12/27/2019	01/31/2022
11	7098865	ADVANTAGE TRANSIT   	GROUP INC           	137 NO LARK STREET  	GEORGE DEUTSCH      	                    	RS 	01/11/2005	11/02/2018	12/31/2020
12	7103688	ALBANY BATTERY INC  	                    	69 TERMINAL STREET  	JOSEPH TREMBLEY     	                    	RS 	03/21/2007	01/31/2019	02/28/2021
13	7051229	ALBANY FOREIGN AUTO 	SERVICE             	120 CATHERINE ST    	WILLIAM MOESHEESH   	CO INC THE          	RS 	04/19/1990	02/26/2020	03/31/2022
14	3010134	ALBANY HONDA        	                    	390 NEW KARNER RD   	JAF MOTORS INC      	                    	RS 	07/03/1980	04/24/2020	05/31/2022
15	7070582	ALBANY LIGHT TRUCK &	CAR REPAIR          	4 ANDERSON DR       	ALBANY LIGHT TRUCK  	REPAIR SERVICE INC  	RS 	05/02/1995	04/16/2019	04/30/2021
16	7073596	ALBANY MACK SALES   	                    	90 HARTS LA         	SBD HOLDING COMPANY 	                    	RS 	02/27/1996	12/19/2019	01/31/2022
17	3010372	ALBANY SPRING SERV  	INC                 	408 N PEARL ST      	PETER A BRODERICK   	                    	RS 	05/14/1980	05/26/2020	05/31/2022
18	7084173	ALBANY VOLVO HINO   	TRUCK SALES         	90 HARTS LA         	ALBANY TRUCK SALES  	LLC                 	RS 	03/23/1999	02/01/2019	02/28/2021
19	7105307	ALBANY WHEEL        	SERVICES            	22 VELINA DRIVE     	MALETTE ENTERPRISES 	LTD                 	RS 	02/14/2008	01/03/2018	01/31/2020
20	7123089	A LINE AUTO GLASS   	LLC                 	1981 WESTERN AVE    	JUNIOR B CARMONA    	                    	RS 	10/26/2017	07/30/2019	09/30/2021
