	Premise Zip	County	Premise City	Premise State
0	11375	QUEENS	FOREST HILLS	NY
1	11766	SUFFOLK	MT SINAI	NY
2	11434	QUEENS	JAMAICA	NY
3	12182	RENSSELAER	TROY	NY
4	11385	QUEENS	RIDGEWOOD	NY
5	11944	SUFFOLK	GREENPORT	NY
6	11434	QUEENS	JAMAICA	NY
7	14841	SCHUYLER	HECTOR	NY
8	11212	KINGS	BROOKLYN	NY
9	11220	KINGS	BROOKLYN	NY
10	11801	NASSAU	HICKSVILLE	NY
11	10950	ORANGE	MONROE	NY
12	87113	ALBANY	ALBUQUERQUE	NM
13	14424	ONTARIO	CANANDAIGUA	NY
14	11238	KINGS	BROOKLYN	NY
15	12533	DUTCHESS	HOPEWELL JUNCTION	NY
16	10451	BRONX	BRONX	NY
17	11510	NASSAU	BALDWIN	NY
18	11377	QUEENS	WOODSIDE	NY
19	11355	QUEENS	FLUSHING	NY
20	10703	WESTCHESTER	YONKERS	NY
21	11354	QUEENS	FLUSHING	NY
22	11385	QUEENS	RIDGEWOOD	NY
23	10580	WESTCHESTER	RYE	NY
24	13212	ONONDAGA	N SYRACUSE	NY
25	13492	ONEIDA	WHITESBORO	NY
26	11950	SUFFOLK	MASTIC	NY
27	78635	ALBANY	HYE	TX
28	11779	SUFFOLK	RONKONKOMA	NY
29	13478	ONEIDA	VERONA	NY
30	11570	NASSAU	ROCKVILLE CENTRE	NY
31	11358	QUEENS	FLUSHING	NY
32	11220	KINGS	BROOKLYN	NY
33	10457	BRONX	BRONX	NY
34	14304	NIAGARA	NIAGARA FALLS	NY
35	10923	ROCKLAND	GARNERVILLE	NY
36	11791	NASSAU	SYOSSET	NY
37	13092	CAYUGA	LOCKE	NY
38	10304	RICHMOND	STATEN ISLAND	NY
39	13782	DELAWARE	HAMDEN	NY
40	12003	RENSSELAER	CASTLETON	NY
41	13413	ONEIDA	NEW HARTFORD	NY
42	14086	ERIE	LANCASTER	NY
43	10950	ORANGE	MONROE	NY
44	10020	NEW YORK	NEW YORK	NY
45	11106	QUEENS	ASTORIA	NY
46	12180	RENSSELAER	TROY	NY
47	12401	ULSTER	KINGSTON	NY
48	11756	NASSAU	LEVITTOWN	NY
49	14526	MONROE	PENFIELD	NY
50	12901	CLINTON	PLATTSBURGH	NY
51	14013	GENESEE	BASOM	NY
52	14450	MONROE	FAIRPORT	NY
53	11216	KINGS	BROOKLYN	NY
54	11206	KINGS	BROOKLYN	NY
55	11767	SUFFOLK	NESCONSET	NY
56	11371	QUEENS	FLUSHING	NY
57	10038	NEW YORK	NEW YORK	NY
58	11758	NASSAU	MASSAPEQUA	NY
59	13219	ONONDAGA	GEDDES	NY
60	11746	SUFFOLK	HUNTINGTON STATION	NY
61	13621	ST LAWRENCE	CHASE MILLS	NY
62	11201	KINGS	BROOKLYN	NY
63	10460	BRONX	BRONX	NY
64	12601	DUTCHESS	POUGHKEEPSIE	NY
65	11206	KINGS	BROOKLYN	NY
66	10034	NEW YORK	NEW YORK	NY
67	10005	NEW YORK	NEW YORK	NY
68	11368	QUEENS	CORONA	NY
69	11763	SUFFOLK	MEDFORD	NY
70	11102	QUEENS	ASTORIA	NY
71	11368	QUEENS	CORONA	NY
72	11967	SUFFOLK	EAST YAPHANK	NY
73	12090	RENSSELAER	HOOSICK FALLS	NY
74	10010	NEW YORK	NEW YORK	NY
75	14425	ONTARIO	FARMINGTON	NY
76	10455	BRONX	BRONX	NY
77	10036	NEW YORK	NEW YORK	NY
78	10031	NEW YORK	NEW YORK	NY
79	14218	ERIE	LACKAWANNA	NY
